,"T1.M1","T1.M2","T1.M3","T1.M4","T1.M5","T2.M1","T2.M2","T2.M3","T3.M1","T3.M2","T3.M3","T4.M1","T4.M2","T4.M3","T5.M1","T5.M2","T5.M3","T6.M1","T6.M2","T6.M3","T6.M4","T7.M1","T7.M2","T7.M3","T8.M1","T8.M2","T8.M3","T9.M1","T9.M2","T9.M3","T10.M1","T10.M2","T10.M3","T10.M4","T10.M5","T10.M6","T10.M7","T10.M8","T11.M1","T11.M2","T11.M3","T11.M4","T11.M5","T12.M1","T12.M2","T12.M3","T12.M4","T13.M1","T13.M2","T13.M3","T13.M4","T13.M5","T13.M6","T13.M7","T13.M8","T14.M1","T14.M2","T14.M3","T14.M4","T14.M5","T14.M6","T15.M1","T15.M2","T15.M3","T15.M4","T15.M5","T15.M6","T15.M7"
"Abludomelita obtusata",3,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Abra alba",0,3,3,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Abra nitida",0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Abra prismatica",0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Abra segmentum",0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Abra tenuis",0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Acanthocardia echinata",0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Acanthocardia tuberculata",0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Acanthochitona crinita",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
"Acanthochitona fascicularis",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
"Acanthodoris pilosa",3,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
"Acanthostepheia malmgreni",3,2,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
