AphiaID,Phylum,Class,_Order,Family,Genus,sr_Less_than_10,sr_11_to_20,sr_21_to_100,sr_101_to_200,sr_201_to_500,sr_More_than_500,m_Soft,m_Tunic,m_Exoskeleton,m_Crustose,m_Cushion,m_Stalked,l_Less_than_1,l_1_to_3,l_3_to_10,l_More_than_10,ed_Asexual,ed_Sexual_pelagic,ed_Sexual_benthic,ed_Sexual_brooded,ld_Pelagic_planktotrophic,ld_Pelagic_lecithotrophic,ld_Benthic_direct,lh_Tube_dwelling,lh_Burrow_dwelling,lh_Free_living,lh_Crevice_hole_under_stones,lh_Epi_endo_biotic,lh_Attached_to_substratum,sp_Surface,sp_Shallow_infauna_0_to_5cm,sp_Mid_depth_infauna_5_to_10cm,sp_Deep_infauna_more_than_10cm,f_Suspension,f_Surface_deposit,f_Subsurface_deposit,f_Scavenger,f_Predator,f_Parasite,mob_Sessile,mob_Swim,mob_Crawl_creep_climb,mob_Burrower,b_Diffusive_mixing,b_Surface_deposition,b_Upward_conveyor,b_Downward_conveyer,b_None
137349,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Grania,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0
137393,Annelida,Clitellata,Tubificida,Naididae,Tubificoides,1,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0
129189,Annelida,Polychaeta,Amphinomida,Amphinomidae,Linopherus,1,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,3,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,3,3,0,0,1,1,1,1,1,0,0,0
129191,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,3,1,0,1,0,0,3,0,0,0,1,3,0,0,0,0,0,3,3,0,0,1,3,3,3,1,0,0,0
129192,Annelida,Polychaeta,Amphinomida,Amphinomidae,Pareurythoe,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,3,1,0,1,0,0,3,3,0,0,3,1,0,0,0,0,0,3,3,0,0,1,3,1,1,1,0,0,0
960,Annelida,Polychaeta,Amphinomida,Amphinomidae,,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,3,0,0,3,1,0,1,0,0,3,1,0,0,1,1,0,0,0,0,0,3,3,0,0,1,1,1,1,1,0,0,0
129285,Annelida,Polychaeta,Amphinomida,Euphrosinidae,Euphrosine,1,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,3,1,1,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0
110354,Annelida,Polychaeta,Echiuroidea,Bonelliidae,Maxmuelleria,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0,3,0
110358,Annelida,Polychaeta,Echiuroidea,Echiuridae,Echiurus,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,1,0,3,0
129261,Annelida,Polychaeta,Eunicida,Dorvilleidae,Dorvillea,0,0,1,1,1,0,3,0,0,0,0,0,0,1,1,0,0,3,0,0,1,1,0,1,0,3,3,3,0,3,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,0
129266,Annelida,Polychaeta,Eunicida,Dorvilleidae,Ophryotrocha,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,3,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,1,1,1,0,0,0
129270,Annelida,Polychaeta,Eunicida,Dorvilleidae,Parougia,3,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0,1,1,1,1,0,0,0
129272,Annelida,Polychaeta,Eunicida,Dorvilleidae,Protodorvillea,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,1,0,3,3,3,0,3,2,0,0,0,0,0,2,3,0,0,0,1,3,3,1,0,0,0
129274,Annelida,Polychaeta,Eunicida,Dorvilleidae,Schistomeringos,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,3,0,0,0,3,0,0,0,3,3,3,0,1,1,0,0,0,2,0,1,1,0,0,0,1,1,1,1,0,0,0
971,Annelida,Polychaeta,Eunicida,Dorvilleidae,,1,1,1,1,1,0,3,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,3,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0
129278,Annelida,Polychaeta,Eunicida,Eunicidae,Eunice,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,1,3,3,3,0,0,1,1,1,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0
129280,Annelida,Polychaeta,Eunicida,Eunicidae,Lysidice,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,3,3,3,0,0,1,1,1,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0
129281,Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa,0,0,1,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3,0,3,1,3,3,3,0,1,1,1,1,0,2,0,1,1,0,0,0,1,1,1,0,0,0,0
966,Annelida,Polychaeta,Eunicida,Eunicidae,,0,0,1,1,1,1,3,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,3,3,3,0,1,1,1,1,0,2,0,1,1,0,0,0,1,1,1,0,0,0,0
129331,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,3,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0
391641,Annelida,Polychaeta,Eunicida,Lumbrineridae,Hilbigneris,0,0,1,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,3,1,1,0,0,1,1,1,0,1,1,2,2,0,0,0,0,1,1,1,0,0,0
129335,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrinerides,0,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,1,3,0,0,0,0,1,1,1,0,0,1,2,2,0,0,0,0,1,2,0,0,0,0
