,"Biodiffusor","Bioirrigator","No_bioturbation","Surface_modifier","Large","Medium","Small","None","Permanent","Deposit_feeder","Filter_suspension","Grazer_scraper","Omnivore","Predator","Scavenger_opportunist","Sub.surface_deposit_feeder","Mobile","Sessile_attached","Hard","Hard_exoskeleton","Hard_shell","Irregular","Round","Fragile_Soft","Vermiform","Burrower","Crawler","None.1","Swimmer","Attached_sessile","Burrower.1","Free.living_Surface_crawler","Tube_dwelling","Attached","Bentho.pelagic","Deeper_than_3cm","Surface_shallow_Less_3cm","Pelagic.planktotrophic","Pelagic_lecthrotophic","Benthic","Brooder_Direct_developer","No_larvae","Les_1year","X1.3_years","X3.10_years","Sexual_pelagic_shed_eggs","Sexual_benthic_shed_eggs","Sexual_encapsulation_.gelatinous.mass.","Sexual_ovigerous_broad_eggs","Asexual","Sexual_direct_development","Annual","Continuos","Seasonal"
"Acanthochitona sp.",0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Acanthochitona sueurii",0,0,0,4,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"Acrosterigma cygnorum",0,2,0,2,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Aglaophamus australiensis",0,4,0,0,4,0,0,4,0,0,0,0,0,3,0,1,4,0,0,0,0,0,0,2,2,2,1,0,1,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0
"Amaryllididae",0,0,0,4,0,3,1,4,0,0,1,0,0,1,1,1,4,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,2,2,0,0,0,0,4,0,0,4,0,0
"Amblypneustes ovum",0,0,0,4,2,2,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4
"Amblypneustes pallidus",0,0,0,4,2,2,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4
"Ampeliscidae",0,0,0,4,0,3,1,4,0,0,1,0,0,1,1,1,4,0,0,0,0,2,0,2,0,0,4,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0,2,2,0,0,0,0,4,0,0,4,0,0
"Ampharetidae",0,4,0,0,2,2,0,4,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,4,0,0,4,0,2,2,0,0,0,2,2,0,0,2,0,2,0,0,4,0,0
"Amphibalanus amphitrite",0,0,0,4,4,0,0,0,4,0,4,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0
