,"0,0001-0,01","0,01-0,1","0,1-1",1+,0-3,4-7,8-11,12+,Asexual reproduction,Sexual reproduction -shed eggs,Sexual reproduction-brood eggs,Pelagic,Benthic,Soft,Soft-protected (tube/tunic cover),Hard-exoskeleton,Hard shell,Tube,Permament burrow,Temporary burrow,Crevice/hole/under stone,Epizoic/epiphytic,Free,Surface,Interface,Infauna: 0-5cm ,Infauna: 6-10cm ,Infauna: > 10cm ,Low (infauna or flat interface),Moderate (mound interface),High (erect interface),None,Temporary,Permanent,Carnivore,Interface Feeders,Filter Feeders,Surface Deposit Feeders,Subsurface Deposit Feeders,Carnivore/Surface Deposit Feeders,Omnivore/Carnivore,Commensalist/Surface Deposit Feeders,None,Swim,Crawl/creep/climb,Burrowing,Jumping,Sessile,Motile,None,Form-settlement/attatchment site,Form-shelter,Action-sediment accretion,Action-sediment removal
Nephtys ferruginea,3,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3,1,0,1,0,3,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,2,1,1,0,0,0,2
Diopatra chilensis,0,1,3,0,3,1,0,0,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,3,2,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,3,0,0,1,0,3,1,0,3,2,0,0
Haploscolopos chilensis,3,0,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,0,1,2,0,0,0,0,3,1,1,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,3,1,0,0,0,2
Magelona phyllisae,3,0,0,0,3,0,0,0,1,0,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,3,1,1,3,0,0,3,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,2,1,1,0,0,0,2
Aricidea pigmentata,3,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,3,0,0,0,0,0,0,3,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,2
Halosyna sp.,1,1,2,0,3,0,0,0,0,0,3,3,0,0,3,0,0,0,0,1,0,0,3,3,2,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,1,0,0,0,0
Indeterminado ,0,3,0,0,3,0,0,0,0,0,3,3,1,0,3,0,0,1,3,0,0,0,0,3,1,1,0,0,3,0,0,3,0,0,0,0,2,1,0,0,0,0,2,0,0,1,0,3,0,0,3,0,0,0
Paraprionospio pinnata,3,0,0,0,3,0,0,0,1,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,2,1,1,0,0,0,2
Prionospio peruana,3,0,0,0,3,0,0,0,1,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,2,1,1,0,0,0,2
Spiophanes bombix,3,0,0,0,3,0,0,0,1,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,2,1,1,0,0,0,2
Anthotoe sp.,1,3,0,0,1,1,1,1,2,2,2,2,2,3,0,0,0,0,0,0,2,1,3,3,1,1,1,1,2,2,3,0,3,0,0,0,3,0,0,0,0,0,3,0,1,1,0,3,1,3,0,0,0,0
Antholoaba acates,0,0,0,3,1,1,1,1,2,2,2,2,2,3,0,0,0,0,0,0,2,1,3,3,1,1,1,1,2,2,3,0,3,0,0,0,3,0,0,0,0,0,3,0,1,1,0,3,1,3,0,0,0,0
Ampelisca sp.,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,3,0,0,0,0,0,2,2,0,0,0,1,0,3,3,0,0,0,0,0,0,3,0,0,0,0,2,0,2,1,0,3,0,0,0,3,0
Heterophoxus sp.,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,0,1,0,2,2,0,0,0,1,2,0,3,0,0,0,0,0,0,3,0,0,0,0,2,2,0,1,0,3,0,0,0,3,0
Aora typica,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,2,2,3,0,0,0,0,1,2,1,3,3,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,3,3,0,0,0,0
Eudevenopus gracilipes,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,2,2,0,0,0,1,2,0,3,0,0,0,0,0,0,3,0,0,0,0,2,0,2,1,0,3,0,0,0,3,0
Betaeus truncatus ,0,1,3,0,2,2,0,0,0,3,0,3,0,0,0,3,0,0,0,1,0,0,3,3,1,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,3,0,0,2,2,1,1,0,3,0,0,0,3,0
