,"Perm attach","Temp attach","Burrower","Crawler","Swimmer","Infauna","Epifauna","Epizoic","Deposit","Filter/susp","Browser","Scavenger","Predator","Algae","Inverte-brates","Carrion","Detritus","Plankton","Susp OM","Micro-
organisms","V small","Small","Med","Med-large","Large","V large","<2","2-5","5-10",10,"<2","2-5","5-10",10,"Asexual","Sexual spawn","Sex planktonic","Sex mini -adults","Annual once","Annual (2 or more)","Biennial","Semelparous (Ani-mals live to be >2)","No pelagic life stage","Pelagic life stage","Low mobility adult","Highly mobile adult","Migratory"
"Acanthocardia echinata",0,0,3,0,1,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,4,0,0,2,3,0,0," "," "," "," "," "
"Actinauge richardi",3,3,0,0,0,0,4,0,0,2,0,2,2,0,2,0,0,2,2,0,0,2,0,0,2,0,0,0,0,4,2,2,0,0,1,3,0,0,2,2,0,0,0,4,4,0,0
"Adamsia carciniopados",3,1,0,0,0,0,1,3,1,1,0,3,1,0,0,2,2,0,0,0,0,4,0,0,0,0,0,1,3,0,3,1,0,0,0,4,0,0,2,2,0,0,0,4,2,2,0
"Aequipecten opercularis",0,2,0,0,2,0,4,0,0,4,0,0,0,0,0,0,0,3,1,1,0,0,1,3,1,1,0,0,4,0,4,0,0,0,0,4,0,0,2,2,0,0,0,4,2,2,0
"Alcyonidium (Genus)",4,0,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,4,0,2,2,0,0,0,2,2,0,4,0,0,0,0,4,4,0,0
"Alcyonium digitatum",4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,4,0,4,0,0,1,3,0,0,4,0,0,0,0,4,4,0,0
"Amphiura (Genus)",0,0,3,2,0,3,1,0,2,3,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0,1,3,2,0,4,0,0,0,4,0,0,3,2,0,0,0,4,3,1,3
"Anapagurus laevis",0,0,0,4,0,0,4,0,3,0,1,2,0,0,0,2,3,0,0,0,4,0,0,0,0,0,1,3,0,0,3,1,0,0,0,0,4,0,1,3,0,0,0,4,3,1,0
"Aphrodita aculeata",0,0,3,1,0,4,0,0,1,0,0,3,2,0,0,3,2,0,0,0,0,0,0,2,2,0,0,1,3,0,2,2,0,0,0,0,4,0,4,0,0,0,2,2,3,1,0
"Aporrhais serresianus",0,0,3,1,0,3,1,0,3,0,1,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,1,3,1,3,1,0,0,0,0,4,0,4,0,0,0,0,4,3,1,0
"Arctica islandica",0,0,4,0,0,4,0,0,1,3,0,0,0,0,0,0,0,3,1,1,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,4,0,0,3,1,0,0,0,4,3,1,0
"Ascidiella (Genus)",4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,2,2,2,0,0,4,0,0,0,3,1,0,0,4,0,0,0,3,3,0,0,3,1,0,0,0,4,4,0,0
"Asterias rubens",0,0,0,4,0,0,4,0,0,0,0,1,3,0,3,2,0,0,0,0,0,3,1,0,0,0,0,0,4,0,3,2,0,0,0,4,0,0,3,1,0,0,0,4,2,2,1
"Astropecten irregularis",0,0,3,2,0,2,2,0,0,0,0,1,3,0,3,2,0,0,0,0,1,1,1,0,0,0,0,3,1,0,1,3,0,0,0,4,0,0,3,1,0,0,0,4,2,2,0
"Bolocera tuediae",3,1,0,0,0,0,4,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,2,0,0,0,4,0,0,3,1,0,0,0,3,4,0,0
"Brissopsis lyrifera",0,0,3,1,0,3,1,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,4,3,1,0
"Buccinum undatum",0,0,0,4,0,0,4,0,0,0,0,3,2,0,2,3,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,3,1,0,0,0,4,3,0,0,1,4,0,1,3,0
"Cancer pagurus",0,0,2,3,0,1,3,0,0,0,0,2,3,0,3,2,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,2,0,0,0,4,0,3,0,1,0,0,4,2,3,2
"Colus gracilis",0,0,0,4,0,0,4,0,0,0,0,3,2,0,2,3,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,3,1,0,0,0,4,3,0,0,1,4,0,1,3,0
"Corystes cassivelaunus",0,0,3,1,0,3,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,3,1,0,0,0,0,4,0,4,0,0,0,0,4,3,1,0
"Crangon allmanni",0,0,1,3,1,1,3,0,0,0,0,1,3,0,3,1,0,0,0,0,4,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,4,0,1,3,0,0,0,4,1,3,1
"Crossaster pappossus",0,0,0,4,0,0,4,0,0,0,0,1,3,0,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2,2,0,0,0,4,0,0,4,0,0,0,0,4,3,1,0
"Dichelopandalus bonnieri",0,0,0,3,3,0,4,0,0,0,0,2,3,0,2,2,0,2,0,0,2,2,0,0,0,0,0,4,0,0,3,1,0,0,0,0,4,0,3,1,0,0,0,4,1,3,1
"Ditrupa arietina",0,1,3,2,0,3,1,0,0,4,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,4,4,0,0
"Echinocardium (Genus)",0,0,3,1,0,3,1,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,4,0,4,0,0,0,4,0,0,4,0,0,0,0,4,3,1,0
"Echinus esculentus",0,0,0,4,0,0,4,0,2,0,1,2,3,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,4,0,2,2,0,0,0,4,0,0,4,0,0,0,0,4,3,1,0
"Ensis ensis",0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,4,0,0,0,0,4,2,2,2
"Flustra foliacea",4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,3,1,2,2,0,0,0,1,3,0,4,0,0,0,0,4,4,0,0
"Liocarcinus holsatus",0,0,2,2,2,2,2,0,0,0,1,2,2,1,2,3,0,0,0,4,1,1,3,1,1,1,0,2,2,1,4,0,0,0,0,0,4,0,2,2,0,0,0,4,1,3,3
"Luidia ciliaris",0,0,2,3,0,3,2,0,0,0,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,3,1,2,2,0,0,0,4,0,0,3,1,0,0,0,4,3,1,1
"Luidia sarsi",0,0,2,3,0,3,2,0,0,0,0,1,3,0,3,1,0,0,0,0,0,1,1,1,0,0,0,3,2,0,4,0,0,0,0,4,0,0,3,1,0,0,0,4,3,1,1
"Macropodia (Genus)",0,0,0,3,1,0,4,0,0,0,2,1,3,1,3,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,4,0,1,3,0,0,0,4,3,1,0
"Neanthes fucata",2,2,0,0,0,2,,3,0,1,0,3,1,0,1,3,1,0,1,0,3,1,0,0,0,0,0,4,0,0,2,2,0,0,0,4,0,0,0,0,0,4,0,4,2,2,0
"Necora puber",0,0,0,1,3,0,4,0,0,0,1,2,3,2,3,2,0,0,0,0,0,0,0,0,4,0,0,0,1,3,4,0,0,0,0,0,4,0,1,3,0,0,0,4,0,4,1
"Nephrops norvegicus",0,0,2,2,1,3,2,0,0,1,0,1,3,0,3,1,0,0,1,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,3,0,2,0,0,4,2,3,0
"Neptunea antiqua",0,0,0,4,0,0,4,0,0,0,0,2,3,0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,2,3,2,0,0,0,4,2,0,0,2,4,0,1,3,0
"Nucula turgida",0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,3,1,0,0,0,4,0,0,4,0,0,0,0,4,4,0,0
"Ophiura ophiura",0,0,0,3,2,0,4,0,0,3,0,1,1,0,2,2,0,2,2,2,0,0,4,0,0,0,0,0,4,0,1,3,0,0,0,4,0,0,3,1,0,0,0,4,3,1,0
