,"S","SM","M","ML","L","Vermi.uns.","Vermi.seg.","Bivalved","Turbinate","Articulate","No prot.","Tube","Burrow","Case","Soft shell","Hard shell","Non flex.","Very flex.","Flex","Jointed","Fragile","Intermediate","Robust","Low","Temporary","Permanent","Very short","Short","Long","Very long","Less.half","Half","Long.half","Asexual","Sexual","Gonochoristic","Hermaphroditic","Parthenogenetic","Non fert.","External","Internal","Fragmentation","Oviparous","Ovoviviparous","Viviparous","Planktotrophic","Lecitotrophic","Direct develop.","Semelparous","Annual epi.","Annual prot.","Attached","Tube dweller","Burrow dweller","Case builder","Free","Inf. deep","Inf. middle","Inf. top","Epibenthic","Bent. pelagic","Suspension","Surface","Sub surface","Selective","Miner","Parasite","Detritivore","Omnivore","Herbivore","Carnivore","Scavenger","Parasite","Jaws","Siphon","Tentaculate","Pharynx ","Radula","Net","Sessile","Semi mobile","Mobile","Swimmer","Raft. drift.","Crawler","Byssus","Tube","Burrower","Non mig.","Vertical","Horizontal","Non dispersal","Local","Long distance","No transport","Diffusive mixing","Surface deposition","Conveyer belt transp.","Rev. conveyer belt transp.","Solitary","Gregarious","Aggregated"
"Cynopthalma (Prostoma/Prostomatella) obscura (obscurum) (Schultze)","0","0",3,"0","0",3,"0","0","0","0",3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0","0",3,3,"0","0","0","0",3,"0",1,3,3,"0","0",1,3,"0",1,"0","0",3,"0","0",3,"0","0",3,"0","0","0","0",3,"0","0",3,1,"0","0","0",3,"0","0","0","0","0","0",3,"0","0","0","0","0",3,"0","0","0","0",3,1,"0",3,"0","0","0",3,"0","0",3,"0","0",2,1,"0","0","0",3,"0","0"
"Prostoma graecense (Boehmig)","0","0",3,"0","0",3,"0","0","0","0",3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0","0",3,3,"0","0","0","0",3,"0",1,3,3,"0","0",1,3,"0",1,"0","0",3,"0","0",3,"0","0",3,"0","0","0","0",3,"0","0",3,1,"0","0","0",3,"0","0","0","0","0","0",3,"0","0","0","0","0",3,"0","0","0","0",3,1,"0",3,"0","0","0",3,"0","0",3,"0","0",2,1,"0","0","0",3,"0","0"
"Halicryptus spinulosus (von Siebold)","0","0",3,"0","0",3,"0","0","0","0","0","0",3,"0","0","0","0","0",3,"0","0",3,"0","0","0",3,"0","0",3,"0","0",3,"0","0",3,3,"0","0","0",3,"0","0",3,"0","0","0","0",3,"0","0",3,"0","0",3,"0","0",3,2,1,"0","0","0","0",3,"0","0","0",3,3,"0",3,"0","0","0","0","0",3,"0","0","0","0",3,"0","0","0","0","0",3,3,"0","0",3,"0","0","0",3,"0","0",1,3,"0","0"
"Oligochaeta","0","0",3,"0","0","0",3,"0","0","0",3,"0","0","0","0","0","0",3,"0","0",3,"0","0","0",1,3,3,"0","0","0","0",3,"0",1,3,"0",3,"0",1,2,1,1,3,"0","0","0","0",3,"0","0",3,"0","0","0","0",3,"0","0",2,1,"0","0",1,3,"0","0","0",3,1,"0","0","0","0","0","0","0",3,"0","0","0","0",3,"0",1,3,"0","0","0",3,"0","0","0",3,"0",3,2,"0","0","0",2,1,"0"
"Piscicola geometra (Linnaeus)","0","0",3,"0","0","0",3,"0","0","0",3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0",3,"0","0",3,"0","0","0","0",3,"0",3,"0",3,"0","0","0",3,"0",3,"0","0","0","0",3,3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0","0","0","0","0",3,"0","0","0","0","0",3,"0","0","0",3,"0","0","0",3,"0",1,3,"0","0","0","0",3,"0","0","0",2,1,3,"0","0","0","0",3,"0","0"
"Glossiphonia complanata (Linnaeus)","0","0",3,"0","0","0",3,"0","0","0",3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0",3,"0","0","0",3,"0","0","0",3,"0",3,"0",3,"0","0","0",3,"0","0",3,"0","0","0",3,3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0","0","0",3,"0","0","0","0","0",3,"0","0","0","0","0",3,"0","0","0",3,"0",1,3,"0","0","0","0",3,"0","0","0",2,1,3,1,"0","0","0",3,"0","0"
"Alboglossiphonia (Glossiphonia) heteroclita (Linnaeus)","0","0",3,"0","0","0",3,"0","0","0",3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0",3,"0","0",3,"0","0","0",3,"0","0",3,"0",3,"0","0","0",3,"0","0",3,"0","0","0",3,1,"0",3,"0","0","0","0",3,"0","0","0",3,"0","0",3,"0","0","0",2,"0","0","0",3,"0",2,"0","0","0",3,"0","0","0",3,"0",1,3,"0","0","0","0",3,"0","0","0",2,1,3,1,"0","0","0",3,"0","0"
"Helobdella stagnalis (Linnaeus)","0",3,"0","0","0","0",3,"0","0","0",3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0",3,"0","0",3,"0","0","0",3,"0","0",3,"0",3,"0","0","0",3,"0","0",3,"0","0","0",3,3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0","0","0",3,"0","0","0","0","0",3,"0","0","0","0","0",3,"0","0","0",3,"0",1,3,"0","0","0","0",3,"0","0","0",2,1,3,1,"0","0","0",3,"0","0"
"Erpobdella octoculata (Linnaeus)","0","0","0","0",3,"0",3,"0","0","0",3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0",3,"0","0","0",3,"0","0","0",3,"0",3,"0",3,"0","0","0",3,"0",3,"0","0","0","0",3,3,"0","0","0","0","0","0",3,"0","0","0",3,"0","0","0","0",3,"0","0","0","0","0",3,1,"0","0","0","0",3,"0","0","0",3,"0",1,3,"0","0","0","0",3,"0","0","0",2,1,3,1,"0","0","0",3,"0","0"
"Marenzelleria spp. (cf. viridis, neglecta, arctica) (Mesnil)","0","0","0","0",3,"0",3,"0","0","0","0","0",3,"0","0","0","0",3,"0","0",3,"0","0","0",1,3,"0","0",3,"0","0",3,"0","0",3,3,"0","0","0",3,"0","0","0",3,"0","0",3,"0","0","0",3,"0","0",3,"0","0",3,2,1,"0","0","0","0",3,"0","0","0",3,3,"0",3,"0","0","0","0",3,"0","0","0","0","0",3,"0","0","0","0","0",3,2,1,"0","0",2,1,"0","0","0",1,3,1,2,"0"
