,Sedentary/fixed tube,Swim,Crawl,Free/burrow in sed,Filter feed,Predator,Scavenger,Grazer,Surface DF,Subsurface DF,Burrow,Tube,None,Surface to deep,Deep to surface,Surface mix,None,Small,Medium,Large,Veniform,Globulose,CaCO3,On sediment surface,In top 2cm sediment,Below top 2cm sediment,Attached sediment or plant,Within plants
Chironomis larvae,0,0,0,1,0.333,0,0,0,0.667,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
Corophium insidiosum,0.667,0.333,0,0,0.667,0,0,0,0.333,0,0,0.667,0.333,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Edotia montosa,0,0.5,0.5,0,0,0,0.333,0.334,0.333,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.5,0,0,0,0.5
Ephemeroptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gammarus mucronatus,0,0.5,0.5,0,0,0,0,0.667,0.333,0,0,0,1,0,0,0.333,0.667,0,1,0,0,1,0,0.333,0,0,0,0.667
Idotea baltica,0,0.5,0.5,0,0,0,0.333,0.667,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.333,0,0,0,0.667
Idotea phosphorea,0,0.5,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.667,0,0,0,0.333
Jaera marina,0,0.5,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.5,0,0,0,0.5
Oxyurostylis smithi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoxocephalus holbolli,0,0.333,0,0.667,0,0.333,0,0,0.667,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
Onoba aculeus,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0.5,0.5,0.667,0,0,0,0.333
Gemma gemma,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.5,0.5,0,1,0,0,0
Hydrobia minuta,0,0,1,0,0,0,0,0.667,0.333,0,0,0,1,0,0,0,1,1,0,0,0,0.5,0.5,0.333,0,0,0,0.667
Littorina obtusata,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.5,0.5,0,0,0,0,1
Macoma balthica,0,0,0.5,0.5,0.334,0,0,0,0.333,0.333,1,0,0,0,0,0.667,0.333,0,1,0,0,0.5,0.5,0,1,0,0,0
Mya arenaria,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.667,0.333,0,0.5,0.5,0,0,1,0,0
